key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
bi_2_16_1_#ow_terminal,True,2,16,1,#ow,terminal,2.4652117093404136,0.4760453701019287,0.33478489417613283,-0.16927439515033282,30.10233253175426
bi_2_16_1_bow_all,True,2,16,1,bow,all,3.177743434906006,0.4698888957500458,0.26439319283275975,-0.26545045280571666,33.858239359614046
bi_2_16_1_bow_first,True,2,16,1,bow,first,1.5216635862986247,0.5616726279258728,0.42771211259007474,-0.0664678013684381,22.477267514228014
bi_2_16_1_bow_last,True,2,16,1,bow,last,1.5925040245056152,0.5602017045021057,0.42930750939783835,-0.027837526538279315,34.6623773934067
bi_2_16_1_bow_terminal,True,2,16,1,bow,terminal,2.5063343048095703,0.4672199785709381,0.29465966932151993,-0.07634690347787587,36.08034159016279
bi_2_16_1_eow_all,True,2,16,1,eow,all,3.183637539545695,0.47011110186576843,0.27651828465852646,-0.20721067991267939,35.26312776191847
bi_2_16_1_eow_first,True,2,16,1,eow,first,1.538564642270406,0.575330913066864,0.4503797929558131,-0.04974793030003011,28.139835038182973
bi_2_16_1_eow_last,True,2,16,1,eow,last,1.658966859181722,0.4965328574180603,0.3845859282022561,-0.18279155282540893,22.96569794407355
bi_2_16_1_eow_terminal,True,2,16,1,eow,terminal,2.5171376864115396,0.4387476146221161,0.3066145852961092,-0.30020328323141676,32.38817089773697
bi_2_16_1__all,True,2,16,1,,all,3.059850295384725,0.47715431451797485,0.21874897493333378,-0.15071754652419322,33.506968514875716
bi_2_16_1__first,True,2,16,1,,first,1.5883237918217976,0.565665066242218,0.42404377242046065,-0.026004384267260598,41.01330204159779
bi_2_16_1__last,True,2,16,1,,last,1.8800695339838664,0.5024164319038391,0.3363034222760454,-0.18502620213228993,48.56742693077155
bi_2_16_1__terminal,True,2,16,1,,terminal,2.607740879058838,0.4383987784385681,0.2726897300058318,-0.3360272827259072,40.203911570358805
bi_2_32_1_#ow_all,True,2,32,1,#ow,all,3.303635517756144,0.4666285812854767,0.31398168915952596,-0.27733894960872907,38.308759749602885
bi_2_32_1_#ow_first,True,2,32,1,#ow,first,1.4552433888117473,0.5725992918014526,0.47089125420225764,0.0026728920576465365,20.682795293536774
bi_2_32_1_#ow_last,True,2,32,1,#ow,last,1.5744733810424805,0.5009455680847168,0.41995667435146444,-0.17162582850726316,23.024162562373235
bi_2_32_1_#ow_terminal,True,2,32,1,#ow,terminal,2.4470085302988687,0.46448832750320435,0.34328955885157286,-0.2202843897107256,29.006465578299334
bi_2_32_1_bow_all,True,2,32,1,bow,all,3.1049885749816895,0.4855555593967438,0.2929288939478623,-0.3006867738246164,36.751599783782886
bi_2_32_1_bow_first,True,2,32,1,bow,first,1.6419517993927002,0.5026265978813171,0.4059859844116583,-0.15284690493399355,21.07566978304897
bi_2_32_1_bow_last,True,2,32,1,bow,last,1.5014581282933552,0.5478041172027588,0.459340888351318,-0.06653248098279274,32.31685071317162
bi_2_32_1_bow_terminal,True,2,32,1,bow,terminal,2.5173544883728027,0.46102121472358704,0.32540715554053784,-0.2547189836291692,34.133345962702776
bi_2_32_1_eow_all,True,2,32,1,eow,all,3.096773942311605,0.47083333134651184,0.2876225522496843,-0.3170015605757228,37.46461585517368
bi_2_32_1_eow_first,True,2,32,1,eow,first,1.4908583164215088,0.5351964235305786,0.44446618692288026,-0.03756818198071099,29.76310438696065
bi_2_32_1_eow_last,True,2,32,1,eow,last,1.5824493169784546,0.5122925043106079,0.4225151580055267,-0.1726495027340278,23.213282659913368
bi_2_32_1_eow_terminal,True,2,32,1,eow,terminal,2.3739688396453857,0.4945366382598877,0.38110378764356484,-0.20748316543261966,33.34390614738696
bi_2_32_1__all,True,2,32,1,,all,3.0437303384145102,0.4574428200721741,0.22196988024663775,-0.29355498172731087,33.569734037216634
bi_2_32_1__first,True,2,32,1,,first,1.5356340408325195,0.5625131130218506,0.46133726785036744,-0.03764501498701467,39.6431478540252
bi_2_32_1__last,True,2,32,1,,last,1.6913207372029622,0.533305287361145,0.38559348714490577,-0.07484915900456479,50.76233707668849
bi_2_32_1__terminal,True,2,32,1,,terminal,2.448925256729126,0.43749192357063293,0.28693321766742563,-0.3061265121473957,42.32048865476771
bi_2_64_1_#ow_all,True,2,64,1,#ow,all,3.2998387018839517,0.4252822995185852,0.29764522231367524,-0.4031023248105132,36.06748333538617
